Shop ID,Average Price($)
Shop_136738,31.332
Shop_145879,17.232
Shop_145065,20.0064
Shop_130904,61.6848
Shop_49271,107.1792
Shop_145085,122.2992
Shop_135347,30.1008
Shop_144697,3.084
Shop_150927,28.356
Shop_93341,34.8072
Shop_56117,17.1984
Shop_99920,9.3744
Shop_13136,7.3776
Shop_56866,3.492
Shop_50577,29.4048
Shop_126310,35.796
Shop_133436,7.1136
Shop_136057,11.4912
Shop_96826,7.1928
Shop_148217,
Shop_118065,9.0096
Shop_134561,9.912
Shop_140815,762.0072
Shop_134212,6.5304
Shop_65691,6.2568
Shop_98242,59.772
Shop_100529,418.9728
Shop_132360,55.6416
Shop_106358,167.7696
Shop_143681,5.1288
Shop_116391,16.512
Shop_141376,15.8208
Shop_133394,65.808
Shop_144095,10.824
Shop_78122,18.9096
Shop_127722,81.468
Shop_163142,
Shop_138238,17.4816
Shop_108809,3.0168
Shop_114927,20.892
Shop_129920,48.9024
Shop_128908,343.5696
Shop_95442,32.8344
Shop_130161,18.7968
Shop_111848,15.6648
Shop_76807,29.7672
Shop_146666,199.986
Shop_122321,
Shop_51852,15.648
Shop_89605,29.2104
Shop_95693,97.476
Shop_56773,9.408
Shop_49643,24.2928
Shop_75361,22.848
Shop_23406,8.0232
Shop_150805,
Shop_97213,182.2848
Shop_141628,59.5968
Shop_134949,8.4456
Shop_103190,25.0752
Shop_133828,36.576
Shop_125683,38.0736
Shop_145435,15.6024
Shop_132547,63.6792
Shop_147497,31.3392
Shop_124581,6.7992
Shop_88961,6.42
Shop_113117,10.5744
Shop_97798,29.7888
Shop_130068,26.3232
Shop_101574,34.4328
Shop_135522,36.6576
Shop_106150,27.8208
Shop_111938,28.7688
Shop_147012,5.3808
Shop_129684,10.6368
Shop_126924,14.856
Shop_122034,18.8496
Shop_159545,23.8272
Shop_123141,24.8496
Shop_148634,26.052
Shop_125074,30.8544
Shop_141352,36.22
Shop_110020,36.54
Shop_145880,42.576
Shop_123127,52.6992
Shop_93461,19.824
Shop_77423,33.3864
Shop_158951,
Shop_130765,24.9552
Shop_104731,26.748
Shop_145680,
Shop_137185,122.2464
Shop_153736,10.44
Shop_102191,33.1488
Shop_136173,47.7432
Shop_71854,9.396
Shop_73021,23.484
Shop_114675,
Shop_150919,
Shop_138316,48.036
Shop_145024,
Shop_118384,27.1224
Shop_101100,108.5736
Shop_94233,14.8416
Shop_37857,54.0024
Shop_120427,41.9808
Shop_138530,
Shop_131765,13.4136
Shop_163400,
Shop_129634,28.2
Shop_111989,39.0144
Shop_108354,43.2336
Shop_139620,8.58
Shop_151789,12.8496
Shop_136867,20.8872
Shop_132045,18.54
Shop_135941,6.4944
Shop_117573,13.884
Shop_51772,20.2968
Shop_129192,
Shop_109055,6.54
Shop_145736,
Shop_118508,17.7576
Shop_112265,123.6792
Shop_125463,2727.7224
Shop_133371,40.1088
Shop_97172,51.132
Shop_137526,34.7856
Shop_146563,22.5792
Shop_121937,25.3104
Shop_79837,28.9608
Shop_138614,31.32
Shop_62526,36.7272
Shop_121484,63.336
Shop_144296,22.644
Shop_79840,154.4496
Shop_28910,1.596
Shop_139838,
Shop_107587,44.82
Shop_92304,28.3968
Shop_125173,13.2648
Shop_149470,
Shop_86310,56.6352
Shop_137040,24.2064
Shop_108522,29.2104
Shop_23197,3.4944
Shop_90149,195.9792
Shop_117250,38.0568
Shop_122862,19.8408
Shop_150548,4.0608
Shop_103318,3.6768
Shop_88057,7.1304
Shop_111460,3.132
Shop_133452,4.428
Shop_111923,4.8192
Shop_154865,7.8744
Shop_107201,8.352
Shop_145772,10.524
Shop_56095,13.3968
Shop_158454,16.2528
Shop_119462,18.8136
Shop_124916,29.976
Shop_114801,3.5712
Shop_130793,4.1856
Shop_160024,
Shop_149564,
Shop_150890,
Shop_63404,45.5472
Shop_162466,
Shop_119800,39.4704
Shop_93153,30.5064
Shop_141904,51.7488
Shop_79406,8.9808
Shop_121895,39.0456
Shop_142005,2.4696
Shop_99338,33.7344
Shop_60770,
Shop_150581,
Shop_143587,
Shop_143588,
Shop_132025,22.992
Shop_46599,6.888
Shop_146819,34.908
Shop_139609,
Shop_79536,5.7432
Shop_50157,12.54
Shop_140690,
Shop_48997,31.332
Shop_149059,
Shop_136076,10.8456
Shop_108226,17.748
Shop_150675,37.8
Shop_121235,
Shop_127591,32.4912
Shop_156578,57.2112
Shop_139286,54.504
Shop_124513,35.6904
Shop_142622,51.2016
Shop_142241,8.1768
Shop_125812,31.308
Shop_136924,15.8712
Shop_134331,5.8584
Shop_161271,181.4328
Shop_85041,8.7696
Shop_131416,11.496
Shop_110621,15.72
Shop_141201,27.1344
Shop_121747,38.7744
Shop_146075,32.1672
Shop_139997,20.1576
Shop_142898,15.0336
Shop_121716,27.5736
Shop_138555,
Shop_153848,33.3504
Shop_130479,
Shop_130480,
Shop_162199,
Shop_135916,15.66
Shop_153577,29.4408
Shop_124808,41.928
Shop_99186,56.2656
Shop_96694,19.632
Shop_162445,10.008
Shop_147186,28.4544
Shop_75998,4.6416
Shop_134691,26.124
Shop_144670,13.5192
Shop_85387,10.488
Shop_143585,21.18
Shop_33298,6.096
Shop_131386,7.3104
Shop_131351,19.836
Shop_124729,128.5128
Shop_79720,3.3888
Shop_87338,23.484
Shop_161402,
Shop_161288,1543.668
Shop_161364,3939.5184
Shop_135647,66.4176
Shop_159067,12.9576
Shop_125632,
Shop_111823,18.8736
Shop_147180,26.1
Shop_151614,65.8104
Shop_114091,298.2
Shop_111879,307.5456
Shop_163024,
Shop_150163,91.4976
Shop_128026,5.748
Shop_114891,46.4496
Shop_98641,14.1456
Shop_80022,5.064
Shop_124722,3.132
Shop_110411,68.5944
Shop_68669,12.0648
Shop_95295,427.6656
Shop_58348,2.46
Shop_88846,4.9272
Shop_78028,11.04
Shop_97990,59.5272
Shop_86453,9.3984
Shop_134766,450.6864
Shop_138274,36.924
Shop_101244,27.7368
Shop_30097,4.2912
Shop_126464,40.68
Shop_127718,
Shop_127719,
Shop_68890,25.356
Shop_137100,6.6552
Shop_154255,51.303
Shop_82718,7.8528
Shop_133654,8.3832
Shop_142585,11.6184
Shop_71954,11.8008
Shop_71268,14.4192
Shop_161526,19.4376
Shop_119618,47.1816
Shop_142582,
Shop_142583,
Shop_142584,
Shop_142586,
Shop_145324,4.52
Shop_142943,4.164
Shop_155071,
Shop_155072,
Shop_127277,29.7744
Shop_143707,4.596
Shop_154726,21.6432
Shop_117970,46.5816
Shop_151628,
Shop_155216,
Shop_135207,20.0496
Shop_131237,125.976
Shop_114367,10.1016
Shop_136416,
Shop_136417,
Shop_100738,16.158
Shop_146536,
Shop_161119,
Shop_151150,
Shop_127160,38.712
Shop_157167,
Shop_150246,27.06
Shop_121753,24.564
Shop_158985,16.8
Shop_75819,15.66
Shop_108199,8.652
Shop_148713,3.6528
Shop_56526,13.1448
Shop_132912,49.8024
Shop_119652,20.892
Shop_162978,3.468
Shop_151546,9.508
Shop_123720,31.5672
Shop_157312,22.116
Shop_138262,13.32
Shop_117248,
Shop_119521,
Shop_41792,10.2264
Shop_119477,13.56
Shop_158936,
Shop_141055,11.4096
Shop_71292,6.612
Shop_133802,33.8568
Shop_161578,26.124
Shop_101091,22.9776
Shop_115637,37.0584
Shop_143175,34.692
Shop_102305,16.5264
Shop_127086,236.6568
Shop_55338,28.86
Shop_132726,23.004
Shop_86916,71.7168
Shop_46024,8.352
Shop_136828,28.4016
Shop_110296,122.784
Shop_140173,52.236
Shop_100980,370.7904
Shop_158155,
Shop_112716,25.08
Shop_75954,39.3552
Shop_143129,8.6256
Shop_127566,
Shop_94027,23.6064
Shop_98765,12.324
Shop_121032,36.5616
Shop_88970,45.6552
Shop_137196,
Shop_88644,8.4096
Shop_102213,11.8
Shop_134418,
Shop_115088,283.0608
Shop_127968,6.78
Shop_111501,9.384
Shop_149452,
Shop_119215,29.7432
Shop_153746,37.56
Shop_83305,243.3096
Shop_149062,
Shop_138881,24.6
Shop_150055,25.896
Shop_113842,27.576
Shop_142820,62.7144
Shop_119834,3.696
Shop_92918,1373.3616
Shop_123911,16.284
Shop_145354,49.1952
Shop_134446,427.9608
Shop_136605,30.288
Shop_88137,2.772
Shop_69857,8.256
Shop_149985,27.8928
Shop_121268,
Shop_107175,30.3264
Shop_132107,40.6128
Shop_158989,8.436
Shop_131141,
Shop_63446,26.8944
Shop_121516,4.212
Shop_155609,1501.5144
Shop_144647,67.332
Shop_100802,2973.4536
Shop_102543,7.9704
Shop_94830,9.444
Shop_153266,
Shop_115235,54.1584
Shop_118358,
Shop_129353,
Shop_131741,12.528
Shop_142844,3.1824
Shop_164269,
Shop_107421,22.806
Shop_63731,3.8232
Shop_46360,6.696
Shop_151670,30.552
Shop_86087,39.3696
Shop_70402,2.8152
Shop_122748,39.1752
Shop_57392,9.192
Shop_138188,25.5768
Shop_162323,4.5936
Shop_134844,13.5312
Shop_138240,13.536
Shop_128759,25.1232
Shop_126393,30.288
Shop_101298,31.7688
Shop_132667,33.432
Shop_124560,35.5104
Shop_146280,139.068
Shop_162904,
Shop_162905,
Shop_124098,
Shop_58792,33.8328
Shop_110818,31.9728
Shop_91707,30.2856
Shop_156067,104.436
Shop_162493,54.678
Shop_161104,583.4688
