Shop ID,Total Number of Listings
Shop_8969,76485
Shop_1225,50398
Shop_1064,37044
Shop_6148,36085
Shop_14671,35819
Shop_6,32267
Shop_3935,28380
Shop_3913,27800
Shop_7,24023
Shop_17601,22572
Shop_6368,20295
Shop_27899,19189
Shop_14,17783
Shop_26988,15596
Shop_379,15442
Shop_15181,14895
Shop_46985,14802
Shop_1135,14560
Shop_13384,14166
Shop_9884,13948
Shop_1521,13489
Shop_58,13126
Shop_9060,12855
Shop_15632,12759
Shop_4526,12694
Shop_28102,12618
Shop_227,12607
Shop_17387,12457
Shop_81,12457
Shop_9489,12274
Shop_47,12169
Shop_10103,12007
Shop_16,11760
Shop_3112,11723
Shop_10042,11527
Shop_395,11517
Shop_101,11435
Shop_36738,11387
Shop_49,11384
Shop_37,11384
Shop_40,11086
Shop_1545,10956
Shop_40694,10759
Shop_23,10695
Shop_11378,10452
Shop_10259,10356
Shop_13,10346
Shop_41,10261
Shop_846,10178
Shop_7582,10087
Shop_1720,10059
Shop_19194,9530
Shop_17862,9418
Shop_14833,9368
Shop_13477,9283
Shop_17907,9270
Shop_30669,9182
Shop_402,9147
Shop_377,9097
Shop_26659,8938
Shop_122,8937
Shop_370,8776
Shop_4585,8719
Shop_4099,8699
Shop_7140,8655
Shop_2040,8647
Shop_18014,8583
Shop_26,8569
Shop_80,8555
Shop_1119,8498
Shop_32835,8494
Shop_561,8479
Shop_2187,8383
Shop_12732,8378
Shop_9812,8365
Shop_444,8356
Shop_181,8332
Shop_15507,8260
Shop_16395,8218
Shop_3215,8212
Shop_188,8138
Shop_78486,8119
Shop_4101,8119
Shop_5259,8019
Shop_3842,7997
Shop_219,7989
Shop_13606,7953
Shop_3156,7908
Shop_9007,7891
Shop_11692,7832
Shop_101011,7827
Shop_12,7785
Shop_608,7774
Shop_7384,7763
Shop_2,7631
Shop_5880,7583
Shop_32871,7491
Shop_15322,7472
Shop_246,7443
Shop_4359,7430
Shop_90772,7365
Shop_15392,7352
Shop_2324,7307
Shop_36,7246
Shop_40360,7237
Shop_18670,7213
Shop_704,7158
Shop_11,7151
Shop_25942,7087
Shop_2516,7070
Shop_12468,7067
Shop_2384,7055
Shop_2143,7042
Shop_47661,7028
Shop_5821,7009
Shop_33127,6952
Shop_2853,6950
Shop_13052,6949
Shop_6348,6931
Shop_25620,6915
Shop_15,6907
Shop_1056,6840
Shop_9419,6839
Shop_1078,6818
Shop_1832,6799
Shop_34062,6794
Shop_14161,6710
Shop_52810,6679
Shop_238,6630
Shop_5804,6608
Shop_331,6592
Shop_30494,6576
Shop_18046,6511
Shop_10,6506
Shop_8988,6492
Shop_9612,6490
Shop_18343,6489
Shop_4306,6464
Shop_10308,6458
Shop_51,6404
Shop_1861,6391
Shop_6590,6366
Shop_5215,6336
Shop_390,6331
Shop_34,6311
Shop_1539,6306
Shop_15333,6251
Shop_79,6199
