Shop ID,Total Number of Sales
Shop_136738,9
Shop_145879,2
Shop_145065,2
Shop_130904,18
Shop_49271,1972
Shop_145085,2
Shop_135347,11
Shop_144697,3
Shop_150927,1
Shop_93341,257
Shop_56117,1457
Shop_99920,179
Shop_13136,14449
Shop_56866,1411
Shop_50577,1856
Shop_126310,28
Shop_133436,13
Shop_136057,10
Shop_96826,212
Shop_148217,1
Shop_118065,54
Shop_134561,12
Shop_140815,5
Shop_134212,12
Shop_65691,970
Shop_98242,196
Shop_100529,172
Shop_132360,15
Shop_106358,122
Shop_143681,3
Shop_116391,61
Shop_141376,5
Shop_133394,13
Shop_144095,3
Shop_78122,549
Shop_127722,24
Shop_163142,
Shop_138238,7
Shop_108809,105
Shop_114927,68
Shop_129920,20
Shop_128908,22
Shop_95442,230
Shop_130161,19
Shop_111848,85
Shop_76807,585
Shop_146666,2
Shop_122321,39
Shop_51852,1759
Shop_89605,312
Shop_95693,226
Shop_56773,1417
Shop_49643,1937
Shop_75361,626
Shop_23406,7044
Shop_150805,1
Shop_97213,208
Shop_141628,5
Shop_134949,11
Shop_103190,148
Shop_133828,13
Shop_125683,29
Shop_145435,2
Shop_132547,15
Shop_147497,1
Shop_124581,32
Shop_88961,322
Shop_113117,77
Shop_97798,201
Shop_130068,19
Shop_101574,162
Shop_135522,11
Shop_106150,123
Shop_111938,84
Shop_147012,2
Shop_129684,20
Shop_126924,26
Shop_122034,40
Shop_159545,
Shop_123141,36
Shop_148634,1
Shop_125074,31
Shop_141352,5
Shop_110020,96
Shop_145880,2
Shop_123127,37
Shop_93461,255
Shop_77423,568
Shop_158951,
Shop_130765,18
Shop_104731,135
Shop_145680,2
Shop_137185,9
Shop_153736,
Shop_102191,156
Shop_136173,10
Shop_71854,736
Shop_73021,699
Shop_114675,69
Shop_150919,1
Shop_138316,7
Shop_145024,3
Shop_118384,53
Shop_101100,167
Shop_94233,245
Shop_37857,3314
Shop_120427,45
Shop_138530,7
Shop_131765,16
Shop_163400,
Shop_129634,20
Shop_111989,84
Shop_108354,108
Shop_139620,6
Shop_151789,
Shop_136867,9
Shop_132045,16
Shop_135941,10
Shop_117573,56
Shop_51772,1765
Shop_129192,21
Shop_109055,103
Shop_145736,2
Shop_118508,53
Shop_112265,83
Shop_125463,30
Shop_133371,13
Shop_97172,208
Shop_137526,8
Shop_146563,2
Shop_121937,40
Shop_79837,507
Shop_138614,7
Shop_62526,1110
Shop_121484,42
Shop_144296,3
Shop_79840,507
Shop_28910,5166
Shop_139838,6
Shop_107587,113
Shop_92304,270
Shop_125173,30
Shop_149470,1
Shop_86310,368
Shop_137040,9
Shop_108522,106
Shop_23197,7129
Shop_90149,304
Shop_117250,58
Shop_122862,37
Shop_150548,1
Shop_103318,146
Shop_88057,337
Shop_111460,87
Shop_133452,13
Shop_111923,85
Shop_154865,
Shop_107201,115
Shop_145772,2
Shop_56095,1459
Shop_158454,
Shop_119462,49
Shop_124916,31
Shop_114801,69
Shop_130793,18
Shop_160024,
Shop_149564,1
Shop_150890,1
Shop_63404,1069
Shop_162466,
Shop_119800,48
Shop_93153,259
Shop_141904,4
Shop_79406,517
Shop_121895,40
Shop_142005,4
Shop_99338,185
Shop_60770,1196
Shop_150581,1
Shop_143587,3
Shop_143588,3
Shop_132025,16
Shop_46599,2218
Shop_146819,2
Shop_139609,6
Shop_79536,514
Shop_50157,1892
Shop_140690,5
Shop_48997,1993
Shop_149059,1
Shop_136076,10
Shop_108226,108
Shop_150675,1
Shop_121235,43
Shop_127591,25
Shop_156578,
Shop_139286,7
Shop_124513,32
Shop_142622,4
Shop_142241,4
Shop_125812,29
Shop_136924,9
Shop_134331,12
Shop_161271,
Shop_85041,392
Shop_131416,17
Shop_110621,92
Shop_141201,5
Shop_121747,41
Shop_146075,2
Shop_139997,6
